Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Jannik Sinner [ITA],60,54-6,90.0%,70.7%,69.0%,469,9.9%,95,2.0%,5.1%,60.9%,78.4%,58.7%,61.8%,90.7%,6.0,1.8
2,Carlos Alcaraz [ESP],82,70-12,85.4%,67.9%,67.9%,427,6.9%,200,3.2%,9.1%,64.6%,73.5%,57.6%,63.3%,86.9%,6.1,2.0
3,Alexander Zverev [GER],89,66-23,74.2%,70.0%,68.5%,723,11.1%,192,3.0%,9.8%,70.0%,76.3%,55.0%,61.1%,88.9%,6.0,1.8
4,Jack Draper [GBR],64,47-17,73.4%,67.4%,66.3%,532,10.7%,188,3.8%,10.0%,62.2%,76.2%,52.9%,58.8%,85.3%,6.1,2.0
5,Taylor Fritz [USA],69,47-22,68.1%,70.7%,68.0%,728,13.3%,122,2.2%,6.3%,64.3%,78.8%,56.3%,60.0%,90.0%,5.9,1.7
6,Novak Djokovic [SRB],51,40-11,78.4%,69.8%,69.0%,349,9.1%,110,2.9%,8.5%,66.2%,76.6%,56.6%,61.9%,89.0%,6.1,1.8
7,Lorenzo Musetti [ITA],66,47-19,71.2%,64.3%,64.2%,246,4.4%,123,2.2%,6.6%,66.4%,69.8%,53.6%,57.4%,80.3%,6.3,2.2
8,Holger Rune [DEN],68,45-23,66.2%,65.9%,65.8%,361,7.0%,179,3.5%,9.0%,61.6%,72.9%,54.7%,60.1%,84.0%,6.3,2.1
9,Daniil Medvedev [RUS],64,41-23,64.1%,65.1%,65.4%,469,9.7%,271,5.6%,14.5%,61.6%,74.4%,50.2%,58.7%,81.9%,6.3,2.2
10,Ben Shelton [USA],66,40-26,60.6%,68.8%,67.6%,644,11.1%,203,3.5%,10.6%,67.0%,75.4%,55.6%,62.1%,88.6%,6.3,2.0
11,Alex De Minaur [AUS],62,41-21,66.1%,64.8%,65.4%,261,5.8%,180,4.0%,8.5%,53.4%,74.1%,54.3%,59.3%,81.2%,6.2,2.2
12,Frances Tiafoe [USA],61,36-25,59.0%,66.0%,64.5%,503,9.5%,159,3.0%,7.1%,57.9%,75.0%,53.5%,57.6%,82.5%,6.3,2.2
13,Tommy Paul [USA],62,43-19,69.4%,64.7%,63.8%,356,6.7%,124,2.3%,6.2%,62.2%,71.8%,53.1%,56.6%,81.6%,6.4,2.3
14,Andrey Rublev [RUS],66,37-29,56.1%,66.5%,64.9%,532,10.4%,166,3.3%,8.4%,61.0%,76.3%,51.2%,55.8%,83.2%,6.2,2.1
15,Casper Ruud [NOR],60,37-23,61.7%,65.6%,65.2%,336,7.8%,149,3.4%,10.2%,66.2%,72.0%,53.1%,59.1%,82.7%,6.3,2.2
16,Arthur Fils [FRA],65,43-22,66.2%,65.7%,65.5%,397,7.5%,194,3.7%,9.7%,62.1%,74.4%,51.4%,56.9%,82.9%,6.4,2.2
17,Jakub Mensik [CZE],59,35-24,59.3%,65.4%,62.8%,747,14.4%,228,4.4%,11.1%,60.4%,76.7%,48.2%,54.2%,83.5%,6.5,2.2
18,Ugo Humbert [FRA],59,35-24,59.3%,66.9%,65.7%,442,9.5%,141,3.0%,7.7%,60.9%,74.7%,54.9%,59.5%,84.8%,6.2,2.0
19,Francisco Cerundolo [ARG],73,46-27,63.0%,63.5%,64.4%,269,4.9%,222,4.0%,10.5%,61.9%,70.0%,53.0%,59.2%,79.8%,6.6,2.4
20,Karen Khachanov [RUS],60,35-25,58.3%,66.0%,64.7%,400,8.3%,122,2.5%,7.0%,63.7%,73.7%,52.5%,56.4%,81.4%,6.1,2.1
21,Grigor Dimitrov [BUL],49,31-18,63.3%,67.0%,67.1%,381,10.4%,192,5.3%,12.8%,59.0%,78.4%,50.7%,58.1%,83.5%,6.2,2.0
22,Alexei Popyrin [AUS],55,30-25,54.5%,65.5%,63.9%,495,11.0%,169,3.8%,10.3%,63.6%,75.3%,48.3%,53.8%,82.8%,6.5,2.2
23,Tomas Machac [CZE],57,33-24,57.9%,63.7%,63.6%,325,7.6%,175,4.1%,10.7%,61.5%,71.1%,51.9%,58.1%,79.1%,6.3,2.3
24,Flavio Cobolli [ITA],61,35-26,57.4%,62.1%,62.4%,287,5.7%,199,4.0%,8.8%,55.2%,69.9%,52.5%,57.6%,77.8%,6.7,2.5
25,Jiri Lehecka [CZE],60,37-23,61.7%,65.7%,63.9%,470,10.7%,143,3.3%,8.3%,60.6%,74.7%,51.7%,56.4%,83.9%,6.3,2.2
26,Stefanos Tsitsipas [GRE],58,35-23,60.3%,67.4%,67.2%,394,8.8%,178,4.0%,10.2%,61.0%,75.7%,54.3%,60.5%,86.0%,6.2,2.0
27,Alejandro Davidovich Fokina [ESP],58,34-24,58.6%,62.1%,62.2%,214,4.5%,138,2.9%,8.6%,66.5%,67.4%,51.6%,56.5%,77.6%,6.6,2.5
28,Felix Auger Aliassime [CAN],63,37-26,58.7%,67.9%,66.4%,609,12.7%,198,4.1%,12.2%,66.0%,76.0%,52.1%,59.3%,85.2%,6.2,2.0
29,Tallon Griekspoor [NED],65,38-27,58.5%,67.5%,66.4%,560,10.5%,196,3.7%,10.7%,65.7%,76.0%,51.3%,57.4%,86.6%,6.4,2.1
30,Denis Shapovalov [CAN],52,31-21,59.6%,65.5%,67.6%,396,9.8%,316,7.8%,19.5%,59.9%,75.3%,51.0%,63.3%,83.7%,6.2,2.2
31,Alexander Bublik [KAZ],44,20-24,45.5%,65.3%,64.8%,519,14.6%,253,7.1%,18.6%,61.6%,77.2%,46.3%,56.9%,82.3%,6.4,2.2
32,Alex Michelsen [USA],68,39-29,57.4%,64.0%,63.7%,328,6.4%,158,3.1%,9.3%,67.0%,70.8%,50.3%,55.4%,80.5%,6.4,2.3
33,Sebastian Korda [USA],34,20-14,58.8%,66.5%,65.0%,247,9.3%,70,2.6%,6.8%,61.0%,73.6%,55.4%,59.4%,84.7%,6.3,2.1
34,Brandon Nakashima [USA],68,37-31,54.4%,67.4%,64.4%,571,11.2%,77,1.5%,4.5%,66.1%,74.2%,54.2%,56.7%,85.6%,6.2,2.0
35,Matteo Berrettini [ITA],53,35-18,66.0%,69.9%,66.7%,528,13.1%,74,1.8%,6.0%,69.3%,77.5%,52.5%,55.9%,89.1%,6.2,1.9
36,Giovanni Mpetshi Perricard [FRA],42,20-22,47.6%,69.8%,67.5%,697,19.6%,215,6.0%,16.9%,64.3%,78.7%,53.7%,64.7%,89.3%,6.4,1.9
37,Nuno Borges [POR],58,31-27,53.4%,63.5%,62.9%,336,7.2%,153,3.3%,9.5%,65.7%,70.1%,51.0%,56.3%,78.7%,6.4,2.3
38,Sebastian Baez [ARG],47,21-26,44.7%,59.1%,59.5%,94,2.5%,87,2.3%,8.3%,71.9%,63.1%,49.1%,53.5%,70.3%,6.6,2.7
39,Hubert Hurkacz [POL],39,22-17,56.4%,67.8%,64.0%,450,14.5%,69,2.2%,5.9%,62.3%,76.7%,53.0%,56.3%,86.4%,6.1,2.0
40,Gabriel Diallo [CAN],44,25-19,56.8%,65.4%,63.6%,359,10.1%,107,3.0%,9.0%,66.8%,72.3%,51.4%,56.5%,83.2%,6.4,2.2
41,Alexandre Muller [FRA],48,24-24,50.0%,61.5%,61.3%,172,4.2%,94,2.3%,7.1%,67.5%,67.6%,48.9%,52.6%,75.5%,6.6,2.5
42,Roberto Bautista Agut [ESP],50,25-25,50.0%,62.6%,63.0%,134,3.3%,107,2.6%,7.8%,66.6%,68.4%,51.1%,55.5%,78.3%,6.5,2.4
43,Matteo Arnaldi [ITA],49,24-25,49.0%,61.6%,61.0%,319,7.6%,164,3.9%,9.0%,56.5%,70.8%,49.7%,54.6%,76.9%,6.6,2.5
44,Jordan Thompson [AUS],42,24-18,57.1%,65.6%,63.2%,310,9.8%,62,2.0%,4.8%,59.2%,74.1%,53.3%,56.0%,80.0%,6.0,2.1
45,Marcos Giron [USA],52,28-24,53.8%,63.0%,61.7%,271,6.4%,83,2.0%,4.8%,59.1%,71.8%,50.2%,52.7%,79.1%,6.5,2.4
46,Quentin Halys [FRA],41,20-21,48.8%,67.3%,65.4%,513,14.7%,170,4.9%,11.6%,57.9%,79.3%,50.7%,57.3%,85.5%,6.2,2.0
47,Lorenzo Sonego [ITA],48,21-27,43.8%,66.0%,65.3%,281,7.1%,105,2.7%,8.0%,66.7%,73.3%,51.5%,56.0%,84.6%,6.3,2.1
48,Gael Monfils [FRA],43,26-17,60.5%,65.5%,65.2%,427,11.2%,212,5.6%,14.0%,60.3%,75.7%,49.9%,58.1%,83.1%,6.4,2.2
49,Miomir Kecmanovic [SRB],52,24-28,46.2%,64.3%,64.0%,242,5.6%,111,2.6%,6.7%,61.4%,72.3%,51.6%,55.3%,80.6%,6.3,2.3
50,Zizou Bergs [BEL],58,32-26,55.2%,64.4%,64.2%,377,8.5%,195,4.4%,10.9%,59.7%,73.1%,51.5%,57.8%,80.5%,6.4,2.3
Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
51,Jacob Fearnley [GBR],30,16-14,53.3%,62.5%,64.1%,158,7.5%,141,6.7%,17.3%,61.1%,71.6%,48.2%,58.2%,76.1%,6.3,2.4
52,Pedro Martinez [ESP],50,18-32,36.0%,57.9%,59.9%,77,2.2%,166,4.7%,15.5%,69.5%,63.7%,44.7%,52.9%,67.9%,6.5,2.7
53,Tomas Martin Etcheverry [ARG],59,27-32,45.8%,63.7%,61.8%,393,8.2%,100,2.1%,5.6%,62.7%,72.0%,49.6%,52.5%,80.4%,6.5,2.4
54,Joao Fonseca [BRA],31,20-Nov,64.5%,66.9%,65.6%,186,7.6%,52,2.1%,6.5%,67.4%,73.5%,53.3%,57.0%,84.8%,6.3,2.1
55,Jaume Munar [ESP],40,17-23,42.5%,62.8%,63.8%,168,5.0%,144,4.3%,11.8%,63.3%,70.9%,49.0%,55.5%,78.5%,6.3,2.4
56,Camilo Ugo Carabelli [ARG],29,Dec-17,41.4%,58.4%,59.2%,87,3.8%,92,4.0%,10.5%,61.9%,67.2%,44.2%,49.4%,69.1%,6.6,2.7
57,Daniel Altmaier [GER],41,17-24,41.5%,62.5%,60.5%,321,9.2%,97,2.8%,7.0%,60.3%,72.9%,46.6%,50.1%,77.3%,6.5,2.4
58,Fabian Marozsan [HUN],51,24-27,47.1%,63.0%,62.6%,251,6.1%,126,3.1%,8.4%,63.4%,70.2%,50.4%,55.0%,78.4%,6.5,2.4
59,Luciano Darderi [ITA],50,19-31,38.0%,62.4%,61.8%,275,7.3%,136,3.6%,9.2%,60.6%,69.6%,51.3%,56.5%,76.9%,6.4,2.4
60,Laslo Djere [SRB],35,20-15,57.1%,64.3%,63.7%,212,8.1%,94,3.6%,9.4%,61.9%,72.0%,51.9%,57.3%,81.5%,6.4,2.3
61,Cameron Norrie [GBR],43,23-20,53.5%,63.0%,62.5%,200,5.6%,91,2.6%,7.6%,66.5%,69.0%,51.1%,55.3%,78.7%,6.5,2.4
62,Learner Tien [USA],34,16-18,47.1%,60.7%,61.6%,132,4.5%,124,4.3%,11.5%,63.0%,67.2%,49.7%,56.1%,74.3%,6.6,2.6
63,David Goffin [BEL],38,21-17,55.3%,59.9%,59.7%,176,6.0%,109,3.7%,8.9%,58.2%,68.5%,47.9%,52.6%,71.3%,6.6,2.6
64,Benjamin Bonzi [FRA],23,11-Dec,47.8%,65.2%,63.9%,123,6.5%,31,1.6%,4.9%,66.7%,69.9%,55.7%,58.6%,81.8%,6.4,2.2
65,Francisco Comesana [ARG],29,13-16,44.8%,63.7%,62.6%,239,8.6%,91,3.3%,8.7%,62.1%,72.0%,50.3%,55.0%,79.8%,6.5,2.4
66,Kei Nishikori [JPN],33,17-16,51.5%,62.7%,62.7%,85,3.7%,51,2.2%,6.7%,66.8%,68.2%,51.8%,55.6%,77.4%,6.2,2.3
67,Damir Dzumhur [BIH],31,14-17,45.2%,58.7%,60.2%,32,1.4%,77,3.4%,10.0%,65.8%,61.7%,53.1%,59.0%,71.6%,6.7,2.8
68,Hamad Medjedovic [SRB],28,16-Dec,57.1%,66.1%,65.4%,196,9.0%,78,3.6%,10.4%,65.6%,73.7%,51.7%,57.7%,84.1%,6.3,2.1
69,Corentin Moutet [FRA],41,19-22,46.3%,60.7%,61.4%,111,3.2%,105,3.1%,8.4%,63.5%,66.7%,50.4%,55.1%,75.0%,6.7,2.6
70,Reilly Opelka [USA],45,24-21,53.3%,68.8%,64.4%,746,20.2%,162,4.4%,12.1%,63.6%,78.7%,51.5%,58.6%,88.1%,6.3,2.0
71,Bu Yunchaokete [CHN],37,14-23,37.8%,64.1%,62.1%,241,8.8%,56,2.0%,4.9%,58.0%,73.1%,51.7%,54.3%,79.7%,6.4,2.3
72,Arthur Rinderknech [FRA],51,22-29,43.1%,65.5%,63.0%,517,13.1%,145,3.7%,9.9%,62.9%,75.5%,48.6%,53.9%,82.0%,6.4,2.2
73,Mattia Bellucci [ITA],30,13-17,43.3%,64.4%,62.9%,229,10.1%,81,3.6%,9.2%,61.0%,72.6%,51.6%,56.8%,81.1%,6.5,2.3
74,Roberto Carballes Baena [ESP],41,18-23,43.9%,61.0%,61.0%,162,5.0%,106,3.3%,8.9%,63.3%,68.0%,48.8%,53.5%,74.3%,6.5,2.5
75,Roman Safiullin [RUS],39,16-23,41.0%,65.0%,64.0%,297,9.0%,115,3.5%,9.5%,63.1%,72.7%,51.8%,57.2%,79.4%,6.3,2.2
76,Aleksandar Kovacevic [USA],31,Nov-20,35.5%,64.8%,63.4%,268,10.9%,98,4.0%,9.5%,58.2%,75.2%,50.3%,55.6%,82.3%,6.4,2.2
77,Christopher Oconnell [AUS],40,15-25,37.5%,62.7%,61.0%,247,8.2%,77,2.5%,6.3%,59.9%,70.5%,50.9%,54.4%,78.7%,6.6,2.5
78,Vit Kopriva [CZE],12,5-Jul,41.7%,59.1%,60.0%,41,4.1%,42,4.2%,11.3%,63.1%,65.6%,48.1%,54.2%,71.5%,6.7,2.7
79,Hugo Dellien [BOL],8,3-May,37.5%,60.3%,59.9%,19,2.7%,8,1.1%,4.1%,72.4%,63.2%,52.8%,55.0%,73.8%,6.7,2.6
80,Juncheng Shang [CHN],32,18-14,56.3%,65.2%,65.0%,164,6.9%,81,3.4%,8.8%,61.5%,73.3%,52.3%,57.4%,81.9%,6.4,2.2
81,Borna Coric [CRO],18,6-Dec,33.3%,63.5%,62.1%,138,9.7%,53,3.7%,9.2%,59.6%,72.2%,50.5%,55.6%,77.5%,6.4,2.3
82,Yoshihito Nishioka [JPN],33,18-15,54.5%,64.3%,64.1%,86,3.9%,42,1.9%,5.1%,63.0%,69.2%,55.9%,58.9%,80.3%,6.4,2.3
83,Marin Cilic [CRO],17,8-Sep,47.1%,65.2%,63.6%,153,11.9%,54,4.2%,9.9%,57.6%,76.7%,49.7%,55.2%,81.8%,6.3,2.2
84,Alejandro Tabilo [CHI],39,13-26,33.3%,62.9%,61.8%,289,8.1%,116,3.2%,8.6%,62.2%,71.0%,49.5%,54.2%,80.4%,6.8,2.5
85,Raphael Collignon [BEL],7,1-Jun,14.3%,61.2%,64.7%,32,6.7%,43,9.0%,26.4%,65.8%,70.1%,44.2%,60.0%,76.4%,6.6,2.6
86,Hugo Gaston [FRA],33,14-19,42.4%,59.2%,59.3%,99,3.7%,73,2.7%,6.2%,55.5%,66.7%,49.9%,53.2%,71.3%,6.6,2.7
87,Rinky Hijikata [AUS],32,Oct-22,31.3%,58.2%,58.4%,115,4.6%,89,3.5%,8.8%,59.7%,65.4%,47.6%,52.2%,68.5%,6.5,2.7
88,Mackenzie Mcdonald [USA],23,Oct-13,43.5%,61.8%,61.4%,102,5.5%,51,2.7%,8.1%,66.1%,66.6%,52.4%,57.0%,75.4%,6.3,2.4
89,Ethan Quinn [USA],18,8-Oct,44.4%,61.8%,61.2%,106,6.8%,52,3.3%,9.0%,63.3%,68.4%,50.4%,55.4%,77.1%,6.8,2.6
90,Adam Walton [AUS],23,Jul-16,30.4%,64.3%,62.7%,163,8.4%,49,2.5%,7.2%,64.8%,72.0%,50.1%,53.9%,81.4%,6.4,2.3
91,Mariano Navone [ARG],47,18-29,38.3%,59.9%,60.2%,127,3.4%,100,2.7%,7.5%,64.3%,64.9%,50.9%,55.0%,72.5%,6.7,2.7
92,Botic Van De Zandschulp [NED],34,13-21,38.2%,61.3%,62.7%,157,5.7%,155,5.6%,14.7%,61.7%,71.2%,45.4%,53.2%,75.9%,6.6,2.6
93,Aleksandar Vukic [AUS],40,16-24,40.0%,64.0%,61.2%,404,11.7%,96,2.8%,6.9%,59.7%,74.1%,49.0%,52.7%,80.7%,6.5,2.3
94,Pablo Carreno Busta [ESP],27,Dec-15,44.4%,64.0%,64.3%,93,4.6%,63,3.1%,8.5%,63.7%,70.4%,52.6%,57.6%,79.1%,6.3,2.3
95,Luca Nardi [ITA],19,May-14,26.3%,56.8%,58.6%,55,3.7%,84,5.6%,13.4%,57.8%,66.9%,43.0%,49.6%,66.4%,7.0,3.0
96,Chun Hsin Tseng [TPE],15,4-Nov,26.7%,61.0%,60.7%,40,4.7%,21,2.4%,5.8%,58.1%,66.8%,53.1%,56.3%,75.2%,6.7,2.6
97,Otto Virtanen [FIN],19,7-Dec,36.8%,63.4%,62.7%,159,10.1%,77,4.9%,11.8%,58.2%,72.1%,51.1%,58.0%,80.8%,6.5,2.4
98,Alexander Shevchenko [KAZ],35,Dec-23,34.3%,59.4%,59.4%,153,5.8%,105,4.0%,10.3%,61.2%,66.5%,48.2%,53.7%,70.3%,6.5,2.7
