Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Aryna Sabalenka [BLR],81,68-13,84.0%,61.5%,61.6%,308,5.6%,195,3.5%,9.5%,62.6%,68.0%,50.7%,55.9%,77.1%,6.6,2.5
2,Coco Gauff [USA],69,53-16,76.8%,60.0%,64.2%,215,4.8%,416,9.3%,22.9%,59.5%,71.1%,43.6%,56.5%,72.4%,6.5,2.6
3,Jessica Pegula [USA],75,55-20,73.3%,60.8%,61.3%,206,4.0%,175,3.4%,9.1%,62.3%,67.3%,50.0%,55.0%,74.1%,6.5,2.5
4,Iga Swiatek [POL],70,54-16,77.1%,61.7%,62.5%,197,4.4%,174,3.9%,10.6%,63.5%,68.4%,50.1%,56.0%,76.7%,6.4,2.5
5,Jasmine Paolini [ITA],64,44-20,68.8%,58.0%,58.4%,98,2.3%,105,2.4%,7.4%,67.3%,62.1%,49.4%,53.3%,68.0%,6.6,2.8
6,Qinwen Zheng [CHN],67,50-17,74.6%,61.1%,60.7%,423,9.2%,245,5.3%,11.7%,54.4%,73.3%,46.6%,52.7%,75.3%,6.3,2.5
7,Mirra Andreeva [RUS],66,49-17,74.2%,60.3%,61.5%,204,4.6%,220,5.0%,12.9%,61.7%,67.4%,48.8%,56.0%,72.8%,6.6,2.6
8,Madison Keys [USA],51,37-14,72.5%,61.0%,60.9%,225,6.1%,143,3.9%,12.0%,67.5%,67.0%,48.4%,55.0%,75.5%,6.6,2.6
9,Paula Badosa [ESP],58,41-17,70.7%,60.6%,62.5%,289,7.0%,298,7.2%,17.0%,57.7%,71.0%,46.5%,56.0%,74.7%,6.6,2.6
10,Emma Navarro [USA],61,37-24,60.7%,57.3%,59.0%,78,1.7%,182,4.1%,11.2%,63.7%,63.1%,47.2%,53.2%,67.1%,6.6,2.8
11,Elena Rybakina [KAZ],53,37-16,69.8%,63.2%,62.5%,330,9.2%,158,4.4%,10.7%,59.0%,73.3%,48.6%,54.4%,79.4%,6.5,2.4
